country,source,data.economy.population_below_poverty_line.value,data.people.languages.date,data.people.languages.language,data.people.languages.note,data.people.languages.note_1,data.people.languages.note_2,data.people.languages.note_3,data.people.languages.overseas_departments,data.people.literacy.total_population.value,data.people.population.total
Timor-Leste,https://web.archive.org/web/20170729071604/https://www.cia.gov/library/publications/the-world-factbook/geos/tt.html,41.8,,"[{""name"":""Tetun Prasa"",""percent"":30.6},{""name"":""Mambai"",""percent"":16.6},{""name"":""Makasai"",""percent"":10.5},{""name"":""Tetun Terik"",""percent"":6.1},{""name"":""Baikenu"",""percent"":5.9},{""name"":""Kemak"",""percent"":5.8},{""name"":""Bunak"",""percent"":5.5},{""name"":""Tokodede"",""percent"":4},{""name"":""Fataluku"",""percent"":3.5},{""name"":""Waima'a"",""percent"":1.8},{""name"":""Galoli"",""percent"":1.4},{""name"":""Naueti"",""percent"":1.4},{""name"":""Idate"",""percent"":1.2},{""name"":""Midiki"",""percent"":1.2},{""name"":""other"",""percent"":4.5}]",data represent population by mother tongue; Tetun and Portuguese are official languages; Indonesian and English are working languages; there are about 32 indigenous languages,,,,,67.5,1261072
Togo,https://web.archive.org/web/20170729071527/https://www.cia.gov/library/publications/the-world-factbook/geos/to.html,55.1,,"[{""name"":""French"",""note"":""official, the language of commerce""},{""name"":""Ewe and Mina"",""note"":""the two major African languages in the south""},{""name"":""Kabye  and Dagomba"",""note"":""sometimes spelled Kabiye; the two major African languages in the north""}]",,,,,,66.5,7756937
Tokelau,https://web.archive.org/web/20170715062412/https://www.cia.gov/library/publications/the-world-factbook/geos/tl.html,,,"[{""name"":""Tokelauan"",""percent"":88.1,""note"":""a Polynesian language""},{""name"":""English"",""percent"":48.6},{""name"":""Samoan"",""percent"":26.7},{""name"":""Tuvaluan"",""percent"":11.2},{""name"":""Kiribati"",""percent"":1.5},{""name"":""other"",""percent"":2.8},{""name"":""none"",""percent"":2.8},{""name"":""unspecified"",""percent"":0.8}]",shares sum to more than 100% because some respondents gave more than one answer on the census (2016 ests.),,,,,,1285
Tonga,https://web.archive.org/web/20170729071605/https://www.cia.gov/library/publications/the-world-factbook/geos/tn.html,24,2006,"[{""name"":""English and Tongan"",""percent"":87},{""name"":""Tongan"",""percent"":10.7,""note"":""official""},{""name"":""English"",""percent"":1.2,""note"":""official""},{""name"":""other"",""percent"":1.1},{""name"":""unspecified"",""percent"":0.03}]",,,,,,99.4,106513
Trinidad And Tobago,https://web.archive.org/web/20170729071811/https://www.cia.gov/library/publications/the-world-factbook/geos/td.html,20,,"[{""name"":""English"",""note"":""official""},{""name"":""Caribbean Hindustani"",""note"":""a dialect of Hindi""},{""name"":""French""},{""name"":""Spanish""},{""name"":""Chinese""}]",,,,,,99,1220479
Tunisia,https://web.archive.org/web/20170729071722/https://www.cia.gov/library/publications/the-world-factbook/geos/ts.html,15.5,,"[{""name"":""Arabic"",""note"":""official, one of the languages of commerce""},{""name"":""French"",""note"":""commerce""},{""name"":""Berber"",""note"":""Tamazight""}]","despite having no official status, French plays a major role in the country and is spoken by about two-thirds of the population",,,,,81.8,11134588
Turkey,https://web.archive.org/web/20170729071700/https://www.cia.gov/library/publications/the-world-factbook/geos/tu.html,21.9,,"[{""name"":""Turkish"",""note"":""official""},{""name"":""Kurdish""},{""name"":""other minority languages""}]",,,,,,95,80274604
Turkmenistan,https://web.archive.org/web/20170729071736/https://www.cia.gov/library/publications/the-world-factbook/geos/tx.html,0.2,,"[{""name"":""Turkmen"",""percent"":72,""note"":""official""},{""name"":""Russian"",""percent"":12},{""name"":""Uzbek"",""percent"":9},{""name"":""other"",""percent"":7}]",,,,,,99.7,5291317
Turks And Caicos Islands,https://web.archive.org/web/20170715065515/https://www.cia.gov/library/publications/the-world-factbook/geos/tk.html,,,"[{""name"":""English"",""note"":""official""}]",,,,,,,51430
Tuvalu,https://web.archive.org/web/20170729071606/https://www.cia.gov/library/publications/the-world-factbook/geos/tv.html,26.3,,"[{""name"":""Tuvaluan"",""note"":""official""},{""name"":""English"",""note"":""official""},{""name"":""Samoan""},{""name"":""Kiribati"",""note"":""on the island of Nui""}]",,,,,,,10959
Uganda,https://web.archive.org/web/20170729071528/https://www.cia.gov/library/publications/the-world-factbook/geos/ug.html,19.7,,"[{""name"":""English"",""note"":""official national language, taught in grade schools, used in courts of law and by most newspapers and some radio broadcasts""},{""name"":""Ganda or Luganda"",""note"":""most widely used of the Niger-Congo languages, preferred for native language publications in the capital and may be taught in school""},{""name"":""other Niger-Congo languages""},{""name"":""Nilo-Saharan languages""},{""name"":""Swahili""},{""name"":""Arabic""}]",,,,,,78.4,38319241
Ukraine,https://web.archive.org/web/20170729071702/https://www.cia.gov/library/publications/the-world-factbook/geos/up.html,24.1,2001,"[{""name"":""Ukrainian"",""percent"":67.5,""note"":""official""},{""name"":""Russian"",""percent"":29.6,""note"":""regional language""},{""name"":""other"",""percent"":2.9,""note"":""includes small Crimean Tatar-, Moldavian-, and Hungarian-speaking minorities""}]","2012 legislation enables a language spoken by at least 10% of an oblast's population to be given the status of ""regional language,"" allowing for its use in courts, schools, and other government institutions; Ukrainian remains the country's only official nationwide language",,,,,99.8,44209733
United Arab Emirates,https://web.archive.org/web/20170729071723/https://www.cia.gov/library/publications/the-world-factbook/geos/ae.html,19.5,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""Persian""},{""name"":""English""},{""name"":""Hindi""},{""name"":""Urdu""}]",,,,,,93.8,5927482
United Kingdom,https://web.archive.org/web/20170729071703/https://www.cia.gov/library/publications/the-world-factbook/geos/uk.html,15,2012,"[{""name"":""English""}]","the following are recognized regional languages: Scots (about 30% of the population of Scotland), Scottish Gaelic (about 60,000 in Scotland), Welsh (about 20% of the population of Wales), Irish (about 10% of the population of Northern Ireland), Cornish (some 2,000 to 3,000 in Cornwall)",,,,,,64430428
United States,https://web.archive.org/web/20170729093511/https://www.cia.gov/library/publications/the-world-factbook/geos/us.html,15.1,2011,"[{""name"":""English"",""percent"":79.2},{""name"":""Spanish"",""percent"":12.9},{""name"":""other Indo-European"",""percent"":3.8},{""name"":""Asian and Pacific island"",""percent"":3.3},{""name"":""other"",""percent"":0.9}]","data represent the language spoken at home; the US has no official national language, but English has acquired official status in 31 of the 50 states; Hawaiian is an official language in the state of Hawaii",,,,,,323995528
Uruguay,https://web.archive.org/web/20170729071812/https://www.cia.gov/library/publications/the-world-factbook/geos/uy.html,9.7,,"[{""name"":""Spanish"",""note"":""official""},{""name"":""Portunol""},{""name"":""Brazilero"",""note"":""Portuguese-Spanish mix on the Brazilian frontier""}]",,,,,,98.5,3351016
Uzbekistan,https://web.archive.org/web/20170729071737/https://www.cia.gov/library/publications/the-world-factbook/geos/uz.html,14,,"[{""name"":""Uzbek"",""percent"":74.3,""note"":""official""},{""name"":""Russian"",""percent"":14.2},{""name"":""Tajik"",""percent"":4.4},{""name"":""other"",""percent"":7.1}]","in the Karakalpakstan Republic, both the Karakalpak language and Uzbek have official status",,,,,99.6,29473614
Vanuatu,https://web.archive.org/web/20170729071607/https://www.cia.gov/library/publications/the-world-factbook/geos/nh.html,,2009,"[{""name"":""local languages"",""percent"":63.2,""note"":""more than 100""},{""name"":""Bislama"",""percent"":33.7,""note"":""official; creole""},{""name"":""English"",""percent"":2,""note"":""official""},{""name"":""French"",""percent"":0.6,""note"":""official""},{""name"":""other"",""percent"":0.5}]",,,,,,85.2,277554
Venezuela,https://web.archive.org/web/20170729071813/https://www.cia.gov/library/publications/the-world-factbook/geos/ve.html,19.7,,"[{""name"":""Spanish"",""note"":""official""},{""name"":""numerous indigenous dialects""}]",,,,,,96.3,30912302
Vietnam,https://web.archive.org/web/20170729071608/https://www.cia.gov/library/publications/the-world-factbook/geos/vm.html,11.3,,"[{""name"":""Vietnamese"",""note"":""official""},{""name"":""English"",""note"":""increasingly favored as a second language""},{""name"":""some French""},{""name"":""Chinese""},{""name"":""and Khmer""},{""name"":""mountain area languages"",""note"":""Mon-Khmer and Malayo-Polynesian""}]",,,,,,94.5,95261021
Virgin Islands,https://web.archive.org/web/20170716035355/https://www.cia.gov/library/publications/the-world-factbook/geos/vq.html,28.9,2010,"[{""name"":""English"",""percent"":71.6},{""name"":""Spanish or Spanish Creole"",""percent"":17.2},{""name"":""French or French Creole"",""percent"":8.6},{""name"":""other"",""percent"":2.5}]",,,,,,,102951
Wake Island,https://web.archive.org/web/20170703010636/https://www.cia.gov/library/publications/the-world-factbook/geos/wq.html,,,,,,,,,,
Wallis And Futuna,https://web.archive.org/web/20170715074451/https://www.cia.gov/library/publications/the-world-factbook/geos/wf.html,,,"[{""name"":""Wallisian"",""percent"":58.9,""note"":""indigenous Polynesian language""},{""name"":""Futunian"",""percent"":30.1},{""name"":""French"",""percent"":10.8,""note"":""official""},{""name"":""other"",""percent"":0.2,""note"":""2003 census""}]",,,,,,,15664
West Bank,https://web.archive.org/web/20170729071717/https://www.cia.gov/library/publications/the-world-factbook/geos/we.html,18,,"[{""name"":""Arabic""},{""name"":""Hebrew"",""note"":""spoken by Israeli settlers and many Palestinians""},{""name"":""English"",""note"":""widely understood""}]",,,,,,96.5,2697687
Western Sahara,https://web.archive.org/web/20170715074556/https://www.cia.gov/library/publications/the-world-factbook/geos/wi.html,,,"[{""name"":""Standard Arabic"",""note"":""national""},{""name"":""Hassaniya Arabic""},{""name"":""Moroccan Arabic""}]",,,,,,,587020
Yemen,https://web.archive.org/web/20170729071724/https://www.cia.gov/library/publications/the-world-factbook/geos/ym.html,54,,"[{""name"":""Arabic"",""note"":""official""}]",a distinct Socotri language is widely used on Socotra Island and Archipelago; Mahri is still fairly widely spoken in eastern Yemen,,,,,70.1,27392779
Zambia,https://web.archive.org/web/20170729071529/https://www.cia.gov/library/publications/the-world-factbook/geos/za.html,60.5,2010,"[{""name"":""Bembe"",""percent"":33.4},{""name"":""Nyanja"",""percent"":14.7},{""name"":""Tonga"",""percent"":11.4},{""name"":""Lozi"",""percent"":5.5},{""name"":""Chewa"",""percent"":4.5},{""name"":""Nsenga"",""percent"":2.9},{""name"":""Tumbuka"",""percent"":2.5},{""name"":""Lunda"",""percent"":1.9,""note"":""North Western""},{""name"":""Kaonde"",""percent"":1.8},{""name"":""Lala"",""percent"":1.8},{""name"":""Lamba"",""percent"":1.8},{""name"":""English"",""percent"":1.7,""note"":""official""},{""name"":""Luvale"",""percent"":1.5},{""name"":""Mambwe"",""percent"":1.3},{""name"":""Namwanga"",""percent"":1.2},{""name"":""Lenje"",""percent"":1.1},{""name"":""Bisa"",""percent"":1},{""name"":""other"",""percent"":9.7},{""name"":""unspecified"",""percent"":0.2}]","Zambia is said to have over 70 languages, although many of these may be considered dialects; all of Zambia's major languages are members of the Bantu family",,,,,63.4,15510711
Zimbabwe,https://web.archive.org/web/20170729071530/https://www.cia.gov/library/publications/the-world-factbook/geos/zi.html,72.3,,"[{""name"":""Shona"",""note"":""official; most widely spoken""},{""name"":""Ndebele"",""note"":""official, second most widely spoken""},{""name"":""English"",""note"":""official; traditionally used for official business""},{""name"":""minority languages"",""percent"":13,""note"":""official; includes Chewa, Chibarwe, Kalanga, Koisan, Nambya, Ndau, Shangani, sign language, Sotho, Tonga, Tswana, Venda, and Xhosa""}]",,,,,,86.5,14546961
European Union,https://web.archive.org/web/20170716103550/https://www.cia.gov/library/publications/the-world-factbook/geos/ee.html,9.8,2012,"[{""name"":""Bulgarian""},{""name"":""Croatian""},{""name"":""Czech""},{""name"":""Danish""},{""name"":""Dutch""},{""name"":""English""},{""name"":""Estonian""},{""name"":""Finnish""},{""name"":""French""},{""name"":""German""},{""name"":""Greek""},{""name"":""Hungarian""},{""name"":""Irish""},{""name"":""Italian""},{""name"":""Latvian""},{""name"":""Lithuanian""},{""name"":""Maltese""},{""name"":""Polish""},{""name"":""Portuguese""},{""name"":""Romanian""},{""name"":""Slovak""},{""name"":""Slovene""},{""name"":""Spanish""},{""name"":""Swedish""}]","only the 24 official languages are listed; German, the major language of Germany, Austria, and Switzerland, is the most widely spoken mother tongue - about 16% of the EU population; English is the most widely spoken foreign language - about 38% of the EU population is conversant with it",,,,,,515052778
